Id,Code,Name,Category,Price,Stock
143,GPU-5588,CPU Cooler,Components,1014.47,163
144,WEB-7844,Ergonomic Mouse,Peripherals,673.92,184
145,SCA-8684,Numeric Keypad,Peripherals,192.48,728
146,CPU-801,Motherboard,Components,250.82,778
147,SWI-219,WiFi Router AC1900,Networking,67.31,430
148,MIC-7961,Soundbar,Audio,432.73,25
149,HDD-1540,NAS HDD,Storage,199.0,453
150,NAS-3670,SD Card 1TB,Storage,433.79,124
151,SCA-1483,Mouse Elite,Peripherals,64.11,624
152,MIC-6377,Microphone,Audio,576.35,683
153,CHA-7623,LED Lights Pro,Accessories,156.36,477
154,DES-9180,Gaming Chair,Furniture,674.26,867
155,SPE-9797,Amplifier,Audio,123.91,296
156,CHA-1724,Laptop Stand,Accessories,72.9,787
157,CHI-5499,Desk Mat,Furniture,604.98,333
158,RAM-9058,Thermal Paste 16-Core,Components,1492.8,931
159,GAM-8159,Portable Monitor 43,Displays,1578.68,511
160,SCA-8276,Drawing Tablet Standard,Peripherals,462.27,335
161,PSU-1474,Fan Controller 32GB,Components,536.08,94
162,CAB-8920,Laptop Stand,Accessories,324.8,14
163,HUB-8286,Monitor Privacy Screen,Accessories,18.23,875
164,MIC-3398,Soundbar,Audio,287.94,300
165,MEM-104,MicroSD Card 512GB,Storage,67.52,341
166,MEM-9929,External HDD,Storage,330.65,155
167,POR-4914,4K Monitor,Displays,1962.63,89
168,DES-5888,Gaming Chair,Furniture,120.34,106
169,CUR-6578,Curved Monitor,Displays,491.04,612
170,WRI-6318,Card Reader,Accessories,112.85,447
171,CHI-3688,Desk Organizer,Furniture,265.54,236
172,PRI-8597,Gaming Keyboard Standard,Peripherals,341.21,525
173,DES-8157,Gaming Chair Adjustable,Furniture,141.75,610
174,PRO-3725,Ultra Monitor 15.6,Displays,1821.12,587
175,CUR-5021,Portable Monitor,Displays,745.41,711
176,NAS-161,SSD,Storage,770.75,405
177,MON-2073,Touch Monitor,Displays,1022.71,494
178,SCA-4242,Numeric Keypad Wireless,Peripherals,665.49,523
179,COO-1935,Case Fan,Components,198.13,680
180,DES-7420,Standing Desk,Furniture,372.44,781
181,MAT-1835,Computer Desk,Furniture,597.5,210
182,SPL-3886,Cable,Accessories,142.19,826
183,MAT-8421,Office Chair,Furniture,323.93,871
184,MIN-6151,Creator Laptop 27,Computers,770.04,694
185,SCA-4038,Ergonomic Mouse,Peripherals,220.99,873
186,SPE-931,Amplifier 5.1,Audio,335.09,371
187,REA-5331,Wrist Rest,Accessories,136.23,796
188,CLN-6137,Wrist Rest,Accessories,307.73,167
189,ADU-3090,Network Adapter AC1900,Networking,441.73,451
190,ARM-1941,Armrest,Furniture,407.52,432
191,CAB-3670,Network Adapter 16-Port,Networking,48.41,190
192,HDD-1309,SD Card 16TB,Storage,291.25,677
193,HEA-9967,Speaker,Audio,326.5,868
194,SSD-6817,SD Card 2TB,Storage,32.47,678
195,HDD-8204,Internal SSD,Storage,274.46,777
196,FOO-2277,Desk Mat Electric,Furniture,334.38,281
197,ULT-6145,Convertible Laptop 14,Computers,2181.93,490
198,CPU-3461,AIO Cooler 4-Core,Components,852.53,787
199,CUR-5115,Mini Projector,Displays,1812.15,534
200,MIC-4864,Gaming Headset Pro,Audio,63.38,601
201,FOO-7738,Desk Organizer,Furniture,470.69,354
202,FOO-5386,Armrest,Furniture,557.0,594
203,DES-4652,Desk Mat Adjustable,Furniture,595.22,491
204,ADU-8590,Network Adapter 24-Port,Networking,459.21,346
205,HDD-3788,Internal SSD 256GB,Storage,644.08,399
206,SWI-7272,WiFi Extender,Networking,441.56,586
207,CAP-8912,Numeric Keypad Plus,Peripherals,87.23,63
208,CAB-2004,Tablet Holder USB-C,Accessories,274.08,198
209,HEA-1764,Headphones 2.1,Audio,387.07,90
210,MON-6783,Portable Monitor,Displays,570.63,51
211,ROU-1094,Powerline Adapter,Networking,341.08,923
212,HEA-9688,Gaming Headset,Audio,145.14,930
213,CAB-856,Cable Organizer Wireless,Accessories,279.59,209
214,RAM-2234,Case Fan,Components,748.54,727
215,HDD-9542,NAS HDD 16TB,Storage,574.79,469
216,MAT-6671,Desk Mat Ergonomic,Furniture,117.94,41
217,MAT-2589,Monitor Riser Manual,Furniture,674.47,689
218,PRO-7772,Ultrawide Monitor,Displays,1639.83,827
219,LAP-6695,Student Laptop,Computers,1141.29,375
220,SPL-8149,Mouse Pad,Accessories,321.29,100
221,CHI-6456,Computer Desk,Furniture,665.4,989
222,HDD-7602,External HDD 512GB,Storage,860.62,39
223,RAM-5095,PC Case,Components,183.57,601
224,ROU-8321,WiFi Extender,Networking,110.13,984
225,HUB-5221,Phone Holder,Accessories,260.13,65
226,CUR-9339,Portable Monitor 32,Displays,1639.18,239
227,SPE-5523,Amplifier,Audio,468.15,23
228,MOD-2295,Ethernet Cable,Networking,342.56,644
229,HEA-4718,Wireless Headphones,Audio,354.61,241
230,MOU-2400,Video Capture Card Elite,Peripherals,592.52,675
231,ARM-4228,Footrest Manual,Furniture,684.89,46
232,NAS-4405,Internal SSD 8TB,Storage,813.57,64
233,CAB-2238,WiFi Card,Networking,295.17,189
234,GAM-9483,Convertible Laptop 17,Computers,1404.95,741
235,CPU-7156,PC Case 64GB,Components,567.01,725
236,SOU-181,Desktop Speakers,Audio,111.36,187
237,HDD-315,NAS HDD,Storage,684.95,637
238,PSU-360,Case Fan 16GB,Components,1390.49,602
239,EAR-3356,Studio Microphone 5.1,Audio,301.01,360
240,GPU-7858,DDR4 RAM 16-Core,Components,1369.34,236
241,MON-1319,Touch Monitor 43,Displays,771.1,246
242,CAP-4778,Mechanical Keyboard Compact,Peripherals,198.84,378
243,SSD-5907,SD Card 512GB,Storage,472.61,677
244,ROU-8387,Ethernet Cable AC1900,Networking,364.58,637
245,AMP-7384,Microphone Premium,Audio,342.24,572
246,CPU-9356,Graphics Card 16-Core,Components,1386.2,643
247,FOO-3289,Desk Mat Manual,Furniture,120.33,526
248,MIN-9625,Mini PC 21,Computers,1284.24,894
249,PRI-9966,Trackball Mouse Standard,Peripherals,119.51,892
250,GAM-8807,Monitor 49,Displays,1533.59,453
251,CHA-4771,Cable Organizer,Accessories,171.85,713
252,PAD-2423,Monitor Privacy Screen USB-C,Accessories,32.48,970
253,MOD-9876,Mesh WiFi 24-Port,Networking,338.95,797
254,RAI-1252,Internal SSD 256GB,Storage,847.28,56
255,SOU-7467,Amplifier Pro,Audio,177.67,454
256,USB-2510,SD Card,Storage,298.16,234
257,ROU-8345,USB Adapter AC1200,Networking,436.56,696
258,DES-2241,Computer Desk Electric,Furniture,716.96,13
259,TAB-6317,Gaming Keyboard,Peripherals,183.11,114
260,HEA-7190,Soundbar RGB,Audio,593.48,84
261,REA-203,LED Lights,Accessories,229.64,126
262,ULT-4085,Ultrawide Monitor 24,Displays,283.84,771
263,CLN-5743,Docking Station,Accessories,91.24,181
264,HEA-3738,Speaker Pro,Audio,446.22,818
265,CAP-2644,Webcam,Peripherals,546.64,712
266,POR-409,Gaming Monitor,Displays,1459.97,972
267,EAR-7023,Speaker,Audio,426.64,101
268,SCA-5314,Webcam Pro,Peripherals,452.19,12
269,CHA-5957,Cable Organizer,Accessories,307.13,524
270,PAD-4168,KVM Switch,Accessories,52.65,721
271,ROU-5738,Modem AC1200,Networking,85.51,103
272,EXT-128,WiFi Extender 8-Port,Networking,214.71,735
273,GAM-2295,Mini Projector 43,Displays,1809.52,915
274,HDD-7637,External HDD 16TB,Storage,172.2,390
275,NAS-6787,Internal HDD,Storage,528.79,643
276,MOD-3869,USB Adapter,Networking,112.47,522
277,GPU-2866,CPU Cooler 750W,Components,1360.59,106
278,STA-3323,Wrist Rest,Accessories,385.47,905
279,CAP-1457,Scanner,Peripherals,356.75,986
280,ROU-9305,Ethernet Cable,Networking,298.8,448
281,LIG-7519,Laptop Bag Pro,Accessories,384.52,583
282,MOU-9638,Mechanical Keyboard Wireless,Peripherals,62.33,311
283,SSD-913,NAS 4TB,Storage,126.02,514
284,MIC-1815,Bluetooth Speaker,Audio,126.69,881
285,EAR-1665,Soundbar Plus,Audio,31.46,858
286,MAT-3800,Standing Desk Executive,Furniture,227.92,165
287,RAM-6476,Power Supply 64GB,Components,963.7,995
288,DES-7405,Ultrabook 11,Computers,2280.86,780
289,POR-2340,Portable Monitor 34,Displays,1016.21,458
290,HDD-6323,Internal HDD 128GB,Storage,741.11,83
291,POR-4578,Curved Monitor 15.6,Displays,974.88,522
292,REA-1162,Wireless Charger,Accessories,216.56,437
293,NAS-1404,NAS HDD,Storage,595.74,390
294,MIC-7914,Earbuds,Audio,491.5,641
295,FOO-6619,Desk Mat,Furniture,83.39,460
296,POR-4244,Curved Monitor,Displays,1767.78,587
297,MAT-3158,Armrest Adjustable,Furniture,197.43,711
298,ARM-6627,Desk Organizer Executive,Furniture,309.27,485
299,MAT-5465,Desk Mat Electric,Furniture,202.85,204
300,MAT-2709,Desk Organizer,Furniture,181.71,707
301,SOU-6187,Studio Microphone,Audio,286.39,436
302,SOU-265,Soundbar 5.1,Audio,48.39,156
303,CHA-8476,USB Hub RGB,Accessories,279.58,651
304,FOO-6482,Gaming Chair Electric,Furniture,344.96,151
305,ULT-1508,Gaming Laptop 24,Computers,1845.81,603
306,TAB-3693,Creator Laptop,Computers,2104.62,46
307,SPL-2221,Charging Station,Accessories,217.17,133
308,ARM-6497,Desk Mat Executive,Furniture,230.56,329
309,CPU-7092,Motherboard 16GB,Components,928.53,188
310,WEB-3126,Wireless Mouse,Peripherals,249.54,735
311,COO-4705,DDR5 RAM,Components,247.33,171
312,CAP-9999,Mechanical Keyboard RGB,Peripherals,582.53,944
313,MOU-7008,Printer,Peripherals,79.59,590
314,WOR-8591,Tablet Pro,Computers,966.73,221
315,WOR-7034,Convertible Laptop 21,Computers,1276.19,262
316,AMP-6754,Studio Microphone Wireless,Audio,536.24,899
317,MIN-4465,All-in-One 14,Computers,938.03,733
318,CAB-6512,Network Adapter 8-Port,Networking,352.76,185
319,HEA-6910,Gaming Headset Pro,Audio,86.15,890
320,CAP-2248,Mechanical Keyboard Pro,Peripherals,499.82,999
321,GPU-3500,Power Supply 650W,Components,160.78,651
322,NAS-1252,NAS 1TB,Storage,86.82,150
323,POR-1445,Ultra Monitor,Displays,1485.24,53
324,ULT-1805,Mini PC 15,Computers,1875.72,914
325,FAN-3963,Motherboard 1000W,Components,264.8,857
326,MOT-4140,Motherboard,Components,530.79,29
327,CUR-4586,Mini Projector 24,Displays,412.64,650
328,PRI-9980,Printer,Peripherals,191.65,738
329,CHI-6200,Standing Desk,Furniture,571.53,639
330,MEM-3858,Internal HDD 128GB,Storage,149.58,437
331,ULT-458,Student Laptop,Computers,494.69,930
332,MEM-3828,NAS HDD,Storage,713.43,605
333,USB-3225,USB Flash Drive 256GB,Storage,48.04,671
334,LIG-966,HDMI Splitter,Accessories,281.88,208
335,WOR-6774,Mini PC,Computers,2420.75,528
336,REA-6894,Laptop Case USB-C,Accessories,23.44,224
337,PRO-4754,Touch Monitor,Displays,1698.42,185
338,HUB-2686,Laptop Case Portable,Accessories,235.48,891
339,MIC-8115,Speaker,Audio,180.03,715
340,SCA-9442,Wireless Mouse,Peripherals,152.09,504
341,SSD-1853,Internal SSD 4TB,Storage,154.24,377
342,SCA-7582,Mechanical Keyboard Pro,Peripherals,35.7,799
343,ADU-5842,Ethernet Cable AC1200,Networking,265.47,946
344,GAM-5573,Gaming Monitor,Displays,1300.45,684
345,GAM-3773,Creator Laptop,Computers,1049.4,151
346,GPU-2747,AIO Cooler 64GB,Components,75.01,309
347,CUR-2179,Ultrawide Monitor,Displays,624.69,67
348,SWI-6013,Ethernet Cable AC1200,Networking,377.16,60
349,CAB-3577,Cable Organizer,Accessories,58.42,534
350,PRI-4446,Printer,Peripherals,405.02,116
351,SPE-7123,Speaker Pro,Audio,150.34,592
352,DES-3302,Armrest,Furniture,110.49,933
353,AIO-9911,Tablet Pro,Computers,2616.6,573
354,CAB-780,WiFi Extender 16-Port,Networking,132.38,614
355,CAB-6072,Phone Holder,Accessories,42.13,641
356,HDD-1369,Internal HDD,Storage,696.26,293
357,TAB-592,Student Laptop 17,Computers,2666.57,418
358,SWI-1270,Powerline Adapter AC1200,Networking,239.97,418
359,WEB-5761,Wireless Keyboard RGB,Peripherals,318.64,800
360,MEM-4637,SSD 128GB,Storage,601.8,877
361,ADU-3228,WiFi Card 24-Port,Networking,234.26,300
362,PEN-2043,Stylus Pen Pro,Peripherals,382.99,340
363,WRI-5674,Monitor Privacy Screen,Accessories,58.5,58
364,PRI-8262,Mouse,Peripherals,457.88,462
365,SPE-3759,Headphones,Audio,429.64,445
366,SWI-8830,Ethernet Cable,Networking,25.74,750
367,CSE-4176,Case Fan,Components,1058.51,9
368,CLN-7964,USB Hub Plus,Accessories,137.81,978
369,DES-6433,Tablet Pro 24,Computers,306.33,809
370,EAR-4157,Subwoofer,Audio,429.42,91
371,CPU-3640,Motherboard 64GB,Components,920.0,978
372,SOU-2203,Wireless Headphones,Audio,387.82,643
373,PEN-7031,Stylus Pen Standard,Peripherals,633.76,400
374,CAB-4761,USB Adapter,Networking,47.65,951
375,SWI-3162,Network Adapter,Networking,342.15,716
376,FOO-867,Computer Desk Racing,Furniture,773.7,323
377,SOU-9385,Microphone,Audio,88.61,840
378,ULT-6568,Curved Monitor,Displays,161.86,595
379,CHI-8086,Desk Organizer,Furniture,414.44,996
380,MEM-2999,RAID Enclosure,Storage,320.5,775
381,WRI-5761,Card Reader,Accessories,132.66,277
382,SOU-1061,Headphones,Audio,479.44,367
383,MOT-9982,DDR4 RAM 64GB,Components,137.11,888
384,COO-8970,CPU Cooler 4-Core,Components,1057.62,506
385,PEN-2922,Trackball Mouse Plus,Peripherals,384.68,510
386,REA-9148,LED Lights,Accessories,198.51,10
387,CUR-9579,Curved Monitor,Displays,840.32,835
388,MIC-2216,Studio Microphone,Audio,150.71,598
389,CHA-8764,Laptop Bag,Accessories,153.31,642
390,TAB-6083,Tablet Pro,Computers,2655.43,696
391,MON-058,Mini Projector 24,Displays,1575.39,16
392,NAS-4906,USB Flash Drive 128GB,Storage,561.61,347
393,CAB-053,Modem 8-Port,Networking,327.94,774
394,SPE-5015,Desktop Speakers 5.1,Audio,446.52,744
395,MOD-2325,WiFi Card 24-Port,Networking,72.49,511
396,MOD-3277,Modem AX3000,Networking,439.24,816
397,USB-3779,USB Flash Drive,Storage,412.91,361
398,SSD-5526,SSD 4TB,Storage,476.69,971
399,ROU-9700,Network Switch 8-Port,Networking,444.16,944
400,ROU-4900,Modem AX3000,Networking,110.55,197
401,SPL-8860,USB Hub Plus,Accessories,49.62,20
402,SCA-2071,Ergonomic Mouse Pro,Peripherals,565.44,201
403,CUR-7132,Ultra Monitor 21,Displays,634.54,361
404,MIN-8633,Gaming Laptop,Computers,2857.9,938
405,AMP-5500,Microphone Plus,Audio,160.04,408
406,EAR-8459,Earbuds RGB,Audio,240.04,799
407,PEN-1146,Scanner,Peripherals,392.86,594
408,MIN-4840,Business Laptop,Computers,1459.88,349
409,PSU-6926,Power Supply 32GB,Components,344.38,78
410,EAR-5269,Wireless Headphones 2.1,Audio,541.35,996
411,EXT-6251,WiFi Extender,Networking,422.91,87
412,AMP-3687,Gaming Headset,Audio,143.56,233
413,MIN-2223,Tablet Pro,Computers,1893.17,476
414,MAT-8352,Gaming Chair Executive,Furniture,65.7,892
415,MEM-5465,NVMe SSD,Storage,189.78,548
416,MEM-8053,Portable SSD,Storage,450.61,476
417,HDD-5937,SD Card,Storage,263.94,403
418,CAP-5256,Mouse,Peripherals,211.4,660
419,RAM-9926,Fan Controller 16GB,Components,642.69,731
420,ROU-5141,USB Adapter AX6000,Networking,144.43,305
421,SPE-2383,Wireless Headphones Studio,Audio,351.57,907
422,FOO-9515,Computer Desk Adjustable,Furniture,80.71,530
423,SWI-7372,WiFi Card,Networking,171.44,642
424,TAB-2029,Video Capture Card RGB,Peripherals,550.15,30
425,MEM-2346,NVMe SSD,Storage,854.65,354
426,MAT-9092,Gaming Chair,Furniture,63.89,280
427,ULT-142,Mini PC,Computers,1600.76,279
428,MIN-9664,Creator Laptop 11,Computers,2513.79,995
429,GAM-2750,Ultrabook,Computers,1689.97,298
430,ADU-8267,Mesh WiFi AX3000,Networking,373.83,219
431,MON-4079,Mini Projector,Displays,1913.03,106
432,EAR-5499,Gaming Headset,Audio,557.22,299
433,USB-7419,External HDD,Storage,519.57,79
434,ARM-3995,Armrest,Furniture,87.62,837
435,PAD-6221,Card Reader USB-C,Accessories,355.65,700
436,KEY-5052,Webcam Pro,Peripherals,239.51,903
437,PRI-7589,Scanner Wireless,Peripherals,566.35,480
438,NAS-9895,Portable SSD 8TB,Storage,800.75,56
439,RAI-6571,NVMe SSD 1TB,Storage,47.53,646
440,CHR-6594,Convertible Laptop 11,Computers,2057.77,336
441,NAS-9718,RAID Enclosure 256GB,Storage,480.26,29
442,KVM-8079,Cable Organizer,Accessories,116.74,333
443,NAS-9989,RAID Enclosure,Storage,775.04,259
444,ADU-375,WiFi Extender AX6000,Networking,27.95,134
445,FAN-3281,DDR4 RAM 4-Core,Components,225.12,807
446,DES-3897,Creator Laptop 11,Computers,501.73,766
447,EAR-1859,Desktop Speakers Studio,Audio,159.7,894
448,DES-8476,Desk Mat Racing,Furniture,168.95,564
449,MOD-5438,USB Adapter AC1900,Networking,92.7,312
450,LAP-8608,Laptop Air,Computers,748.57,783
451,WOR-686,Business Laptop 27,Computers,1721.58,858
452,MIN-8476,Business Laptop 27,Computers,2156.48,792
453,GPU-6025,DDR4 RAM,Components,985.3,405
454,CHR-1182,Convertible Laptop,Computers,2877.47,865
455,SOU-3532,Soundbar,Audio,187.57,829
456,TAB-3169,All-in-One 14,Computers,2170.91,651
457,USB-865,NAS,Storage,386.2,537
458,TAB-4685,Convertible Laptop 11,Computers,2472.72,423
459,ULT-3828,Ultrabook 21,Computers,1825.6,560
460,TAB-685,Laptop Air 21,Computers,2718.13,550
461,ROU-3135,Modem,Networking,17.66,829
462,ULT-3181,4K Monitor,Displays,1958.52,731
463,MON-1636,Touch Monitor 32,Displays,1598.74,460
464,LAP-1223,Chromebook,Computers,2025.18,91
465,MAT-4671,Gaming Chair Executive,Furniture,541.43,129
466,MON-4471,Ultrawide Monitor,Displays,1223.22,346
467,PRO-1757,Monitor 24,Displays,1577.79,88
468,KVM-7436,KVM Switch Portable,Accessories,94.34,519
469,RAM-5841,Motherboard 8-Core,Components,378.18,856
470,MIC-4270,Headphones,Audio,270.15,252
471,SOU-6644,Headphones RGB,Audio,98.03,70
472,KVM-8673,Wireless Charger,Accessories,230.86,800
473,CAB-514,LED Lights RGB,Accessories,356.09,813
474,MAT-8655,Gaming Chair Manual,Furniture,619.42,602
475,BAG-8814,Charging Station RGB,Accessories,55.6,503
476,ROU-4236,Mesh WiFi 24-Port,Networking,373.45,504
477,SWI-3046,WiFi Router AX6000,Networking,246.95,259
478,EAR-635,Gaming Headset,Audio,177.35,822
479,SOU-875,Subwoofer,Audio,584.71,248
480,SCA-8475,Wireless Mouse,Peripherals,450.29,44
481,MAT-7910,Desk Mat,Furniture,708.83,517
482,AMP-6608,Wireless Headphones Wireless,Audio,138.52,282
483,CAS-1724,Tablet Holder Wireless,Accessories,14.61,49
484,MEM-885,Internal SSD 2TB,Storage,526.92,50
485,FOO-6896,Gaming Chair Electric,Furniture,90.34,121
486,FOO-7010,Footrest,Furniture,69.31,489
487,PRI-6092,Ergonomic Mouse RGB,Peripherals,534.62,952
488,WOR-6324,Mini PC,Computers,2682.13,622
489,MIC-3868,Gaming Headset Plus,Audio,399.58,744
490,MEM-7429,NAS HDD 2TB,Storage,548.93,558
491,HEA-1751,Earbuds,Audio,460.55,524
492,MIN-7956,Gaming Laptop,Computers,2181.13,851
